"SurveyID"	"CameraCondition"	"CheckDate"
"R10-FRM2-SP10"	"1"	2010-05-13
"R10-FRM2-SP10"	"1"	2010-06-02
"R10-WDW1-SP10"	NA	2010-05-05
"R10-WDW1-SP10"	"2"	2010-05-13
"R10-WDW1-SP10"	"2"	2010-06-02
"R10-WCP1-SP10"	NA	2010-05-05
"R10-WCP1-SP10"	"1"	2010-05-13
"R10-WCP1-SP10"	"1"	2010-06-02
"D08-BOR1-SP10"	NA	2010-05-10
"D08-BOR1-SP10"	"1"	2010-05-19
"D08-BOR1-SP10"	"1"	2010-06-08
"D08-DAW2-SP10"	NA	2010-05-10
"D08-DAW2-SP10"	"3"	2010-05-19
"D08-DAW2-SP10"	"1"	2010-06-08
"S08-WGL2-SP10"	NA	2010-05-12
"S08-WGL2-SP10"	"1"	2010-05-24
"S08-WGL2-SP10"	"1"	2010-06-16
"S09-VTW1-SP10"	NA	2010-05-12
"S07-WGL1-SP10"	NA	2010-05-13
"S07-WGL1-SP10"	"1"	2010-05-26
"S07-WGL1-SP10"	"1"	2010-06-16
"S09-VTW1-SP10"	"1"	2010-05-24
"S09-VTW1-SP10"	"1"	2010-06-16
"S10-LPC1-SP10"	NA	2010-05-12
"S10-LPC1-SP10"	NA	2010-05-24
"S10-LPC1-SP10"	"1"	2010-05-26
"D05-PRC1-SP10"	NA	2010-05-17
"D05-PRC1-SP10"	"1"	2010-06-08
"S10-LPC1-SP10"	"1"	2010-06-16
"S04-OTW1-SP10"	"1/2"	2010-05-26
"S04-OTW1-SP10"	"1"	2010-06-16
"D08-DAW1-SP10"	NA	2010-05-10
"D08-DAW1-SP10"	"1"	2010-05-19
"D08-DAW1-SP10"	"1"	2010-06-08
"D09-BON1-SP10"	NA	2010-05-10
"D09-BON1-SP10"	"1"	2010-05-19
"D09-BON1-SP10"	"1"	2010-06-08
"D09-VTC1-SP10"	NA	2010-05-10
"D09-VTC1-SP10"	"2"	2010-05-19
"D09-VTC1-SP10"	"2"	2010-06-08
"D07-BEC1-SP10"	NA	2010-05-06
"D07-BEC1-SP10"	"1"	2010-05-17
"D07-BEC1-SP10"	"1"	2010-06-08
"D05-MIA1-SP10"	NA	2010-05-06
"D05-MIA1-SP10"	"1"	2010-05-17
"D05-MIA1-SP10"	"1"	2010-06-08
"D07-NOC1-SP10"	NA	2010-05-06
"D07-NOC1-SP10"	"1"	2010-05-17
"D07-NOC1-SP10"	"1"	2010-06-08
"S08-WGL1-SP10"	NA	2010-05-12
"S08-WGL1-SP10"	"2"	2010-05-24
"S08-WGL1-SP10"	"2"	2010-06-16
"S08-WGL1-SP10"	NA	NA
"S09-ILC1-SP10"	NA	2010-05-12
"S09-ILC1-SP10"	"1"	2010-05-24
"S09-ILC1-SP10"	"1"	2010-06-16
"S06-CBW1-SP10"	NA	2010-05-13
"S06-CBW1-SP10"	"3"	2010-05-26
"S06-CBW1-SP10"	"1"	2010-06-16
"S09-KTP1-SP10"	NA	2010-05-12
"S09-KTP1-SP10"	"1"	2010-05-24
"S09-KTP1-SP10"	"1"	2010-06-16
"S10-ILC1-SP10"	NA	2010-05-12
"S10-ILC1-SP10"	"1"	2010-05-24
"S10-ILC1-SP10"	"1"	2010-06-16
"S07-SAG1-SP10"	NA	2010-05-13
"S07-SAG1-SP10"	"1"	2010-05-26
"S07-SAG1-SP10"	"1"	2010-06-16
"S09-SMC1-SP10"	NA	2010-05-12
"S09-SMC1-SP10"	"1"	2010-05-24
"S09-SMC1-SP10"	"1"	2010-06-16
"S05-LNC1-SP10"	NA	2010-05-26
"S05-LNC1-SP10"	"1"	2010-06-16
"R04-MMW1-SU10"	"1"	2010-07-14
"R04-MMW1-SU10"	"1"	2010-07-27
"R05-GOC1-SU10"	"1"	2010-07-14
"R05-GOC1-SU10"	"1"	2010-07-27
"R06-YOW1-SU10"	"1"	2010-07-14
"R06-YOW1-SU10"	"1"	2010-07-27
"R06-SLT1-SU10"	"1"	2010-07-14
"R06-SLT1-SU10"	"1"	2010-07-27
"R06-SLT2-SU10"	"1"	2010-07-14
"R06-SLT2-SU10"	"1"	2010-07-27
"R07-YHR1-SU10"	"1"	2010-07-14
"R07-YHR1-SU10"	"1"	2010-07-27
"R07-GOF1-SU10"	"1"	2010-07-14
"R07-GOF1-SU10"	"1"	2010-07-27
"S10-LPC1-SU10"	"1"	2010-07-13
"S10-LPC1-SU10"	"1"	2010-07-26
"S09-SMC1-SU10"	"1"	2010-07-13
"S09-SMC1-SU10"	"1"	2010-07-26
"S09-VTW1-SU10"	"1"	2010-07-13
"S09-VTW1-SU10"	"1"	2010-07-26
"S09-KTP1-SU10"	"1"	2010-07-13
"S09-KTP1-SU10"	"1"	2010-07-26
"S08-WGL2-SU10"	"1"	2010-07-13
"S08-WGL2-SU10"	"1"	2010-07-26
"S08-WGL1-SU10"	"1"	2010-07-13
"S08-WGL1-SU10"	"1"	2010-07-26
"S07-WGL1-SU10"	"1"	2010-07-13
"S07-WGL1-SU10"	"1"	2010-07-26
"S07-SAG1-SU10"	"1"	2010-07-13
"S07-SAG1-SU10"	"1"	2010-07-26
"S05-LNC1-SU10"	"1"	2010-07-14
"S05-LNC1-SU10"	"1"	2010-07-26
"S10-LPP1-SU10"	"1"	2010-07-13
"S10-LPP1-SU10"	"1"	2010-07-26
"S05-SFP1-SU10"	"1"	2010-07-14
"S05-SFP1-SU10"	"1"	2010-07-26
"D10-KEM1-SU10"	NA	2010-07-28
"D06-KCG1-SU10"	"1"	2010-07-14
"D06-KCG1-SU10"	"1"	2010-07-26
"D10-MAC1-SU10"	NA	2010-07-13
"D10-MAC1-SU10"	"1"	2010-07-26
"D09-RYW1-SU10"	NA	2010-07-13
"D09-RYW1-SU10"	"2"	2010-07-26
"D05-PRC1-SU10"	NA	2010-07-13
"D05-PRC1-SU10"	"1"	2010-07-26
"D05-MIA1-SU10"	NA	2010-07-14
"D05-MIA1-SU10"	"1"	2010-07-26
"D07-NOC1-SU10"	NA	2010-07-14
"D07-NOC1-SU10"	"1"	2010-07-26
"D07-BEC1-SU10"	NA	2010-07-14
"D07-BEC1-SU10"	"1"	2010-07-26
"D08-BOR1-SU10"	NA	2010-07-13
"D08-BOR1-SU10"	"1"	2010-07-26
"D08-DAW1-SU10"	NA	2010-07-13
"D08-DAW1-SU10"	"1"	2010-07-26
"D08-DAW2-SU10"	"1"	2010-07-13
"D08-DAW2-SU10"	"1"	2010-07-26
"D09-BON2-SU10"	NA	2010-07-13
"D09-BON2-SU10"	"1"	2010-07-26
"D09-VTC1-SU10"	NA	2010-07-13
"D09-VTC1-SU10"	"1"	2010-07-26
"D10-CAN1-SU10"	NA	2010-07-28
"D08-CCC1-SU10"	NA	2010-07-28
"S09-ILC1-SU10"	NA	2010-07-13
"S09-ILC1-SU10"	"1"	2010-07-30
"S10-ILC1-SU10"	NA	2010-07-13
"S10-ILC1-SU10"	NA	2010-07-30
"S06-CBW1-SU10"	NA	2010-07-13
"S06-CBW1-SU10"	"1"	2010-07-26
"D09-RYW1-SU10"	"1"	2010-08-09
"S09-ILC1-SP10"	"1"	2010-05-24
"S08-WGL1-SU10"	"1"	2010-07-26
"D07-PLN1-SU10"	NA	2010-07-28
"R08-VLG1-SU10"	NA	2010-07-14
"R08-VLG1-SU10"	"3"	2010-07-29
"R08-WBK1-SU10"	NA	2010-07-14
"R08-WBK1-SU10"	"1"	2010-07-29
"R09-CTG1-SU10"	NA	2010-07-14
"R09-CTG1-SU10"	"1"	2010-07-29
"R10-WDW1-SU10"	NA	2010-07-14
"R10-WDW1-SU10"	"1"	2010-07-29
"R10-FRM1-SU10"	NA	2010-07-14
"R10-FRM1-SU10"	"1"	2010-07-29
"R10-FRM2-SU10"	NA	2010-07-14
"R10-FRM2-SU10"	"1"	2010-07-29
"R09-BLW1-SU10"	NA	2010-07-14
"R09-BLW1-SU10"	"4"	2010-07-29
"R10-WCP1-SU10"	NA	2010-07-14
"R10-WCP1-SU10"	"1"	2010-07-29
"R09-LIM1-SU10"	NA	2010-07-15
"R09-LIM1-SU10"	"1"	2010-07-29
"R05-GOC1-SU10"	"1"	2010-08-10
"R07-GOF1-SU10"	"1"	2010-08-10
"S09-SMC1-SU10"	"1"	2010-08-09
"S10-LPP1-SU10"	"3"	2010-08-09
"S10-LPC1-SU10"	"1"	2010-08-09
"S07-SAG1-SU10"	"1"	2010-08-09
"S10-ILC1-SU10"	"1"	2010-08-09
"R06-YOW1-SU10"	"1"	2010-08-10
"R06-SLT2-SU10"	"1"	2010-08-10
"R06-SLT1-SU10"	"1"	2010-08-10
"R07-YHR1-SU10"	"1"	2010-08-10
"R04-MMW1-SU10"	"1"	2010-08-10
"S08-WGL2-SU10"	"1"	2010-08-09
"S09-ILC1-SU10"	"1"	2010-08-09
"S08-WGL1-SU10"	"1"	2010-08-09
"S05-LNC1-SU10"	"1"	2010-08-09
"S07-WGL1-SU10"	"1"	2010-08-09
"S05-SFP1-SU10"	"1"	2010-08-09
"S09-VTW1-SU10"	"1"	2010-08-09
"S09-KTP1-SU10"	"1"	2010-08-09
"D10-VHC1-FA10"	NA	2010-10-20
"D10-CAN1-FA10"	NA	2010-10-20
"D10-MAC1-FA10"	NA	2010-10-20
"D10-KEM1-FA10"	NA	2010-10-20
"D09-VTC1-FA10"	NA	2010-10-20
"D09-CLG1-FA10"	NA	2010-10-20
"D09-RYW1-FA10"	NA	2010-10-20
"D08-CCC1-FA10"	NA	2010-10-20
"D08-BOR1-FA10"	NA	2010-10-20
"D08-DAW1-FA10"	NA	2010-10-20
"D09-BON2-FA10"	NA	2010-10-20
"D07-NOC1-FA10"	NA	2010-10-20
"D07-BEC1-FA10"	NA	2010-10-20
"D07-PLN1-FA10"	NA	2010-10-20
"D08-DAW2-FA10"	NA	2010-10-20
"D05-PRC1-FA10"	NA	2010-10-20
"D05-MHC1-FA10"	NA	2010-10-20
"D05-MIA1-FA10"	NA	2010-10-20
"D06-KCG1-FA10"	NA	2010-10-20
"R10-FRM1-FA10"	NA	2010-10-21
"R10-FRM2-FA10"	NA	2010-10-21
"R10-WCP1-FA10"	NA	2010-10-21
"R10-WDW1-FA10"	NA	2010-10-21
"R09-BLW1-FA10"	NA	2010-10-21
"R09-CTG2-FA10"	NA	2010-10-21
"R09-LIM2-FA10"	NA	2010-10-21
"R08-VLG1-FA10"	NA	2010-10-21
"R08-WBK1-FA10"	NA	2010-10-21
"R07-GOF1-FA10"	NA	2010-10-21
"R05-GOC1-FA10"	NA	2010-10-25
"R07-YHR1-FA10"	NA	2010-10-21
"R06-YOW1-FA10"	NA	2010-10-25
"R06-SLT1-FA10"	NA	2010-10-25
"R06-SLT2-FA10"	NA	2010-10-25
"S09-SMC1-FA10"	NA	2010-10-20
"S08-WGL2-FA10"	NA	2010-10-20
"S09-KTP1-FA10"	NA	2010-10-20
"S09-VTW1-FA10"	NA	2010-10-20
"S09-ILC1-FA10"	NA	2010-10-20
"S10-ILC1-FA10"	NA	2010-10-20
"S10-LPC1-FA10"	NA	2010-10-20
"S10-LPP1-FA10"	NA	2010-10-20
"S08-WGL1-FA10"	NA	2010-10-20
"S07-WGL1-FA10"	NA	2010-10-20
"R02-DPG1-FA10"	NA	2010-10-18
"R02-DPG1-FA10"	"1"	2010-10-27
"R02-FRP1-FA10"	NA	2010-10-18
"R02-FRP1-FA10"	"1"	2010-10-27
"J01-LMP1-FA10"	NA	2010-10-14
"J01-LMP1-FA10"	"1"	2010-10-27
"R03-CPG1-FA10"	NA	2010-10-18
"R03-CPG1-FA10"	"1"	2010-10-26
"S04-SSP1-FA10"	NA	2010-10-14
"S04-VFP1-FA10"	NA	2010-10-14
"S04-VFP1-FA10"	"1"	2010-10-26
"S04-WEP1-FA10"	NA	2010-10-14
"S04-WEP1-FA10"	"3"	2010-10-26
"S03-LCP1-FA10"	NA	2010-10-14
"S03-LCP1-FA10"	"1"	2010-10-26
"S03-VIP1-FA10"	NA	2010-10-14
"S03-VIP1-FA10"	"1"	2010-10-26
"S03-ARP1-FA10"	NA	2010-10-14
"S03-ARP1-FA10"	"1"	2010-10-26
"S03-WAP1-FA10"	NA	2010-10-14
"S03-WAP1-FA10"	"1"	2010-10-26
"S02-PIP1-FA10"	NA	2010-10-14
"S02-PIP1-FA10"	"1"	2010-10-25
"S02-CPR1-FA10"	NA	2010-10-14
"S02-CPR1-FA10"	"1"	2010-10-26
"S02-MCP1-FA10"	NA	2010-10-14
"S02-MCP1-FA10"	"1"	2010-10-26
"R04-MMW1-FA10"	NA	2010-10-20
"S05-LNC1-FA10"	NA	2010-10-20
"S06-CBW1-FA10"	NA	2010-10-20
"S04-OTW1-FA10"	NA	2010-10-20
"S05-SFP1-FA10"	NA	2010-10-20
"S07-SAG1-FA10"	NA	2010-10-20
"S04-SSP1-FA10"	NA	2010-10-26
"D05-BRP1-FA10"	NA	2010-11-01
"D05-BRP1-FA10"	"2"	2010-11-15
"D06-KCG1-FA10"	"2"	2010-11-03
"D06-KCG1-FA10"	"2"	2010-11-15
"D09-RYW1-FA10"	"2"	2010-11-01
"D09-RYW1-FA10"	"1"	2010-11-15
"D10-MAC1-FA10"	"1"	2010-11-01
"D10-MAC1-FA10"	"1"	2010-11-15
"S05-SFP1-FA10"	"1"	2010-11-03
"S05-SFP1-FA10"	"1"	2010-11-15
"S10-LPP1-FA10"	"1"	2010-11-01
"S10-LPP1-FA10"	"1"	2010-11-15
"D02-HUP1-FA10"	NA	2010-10-13
"D02-HUP1-FA10"	"1"	2010-10-26
"D02-HUP1-FA10"	"1"	2010-11-08
"D02-RCP1-FA10"	NA	2010-10-13
"D02-RCP1-FA10"	"1"	2010-10-25
"D02-RCP1-FA10"	"1"	2010-11-08
"D02-MOP1-FA10"	NA	2010-10-13
"D02-MOP1-FA10"	"3"	2010-10-26
"D02-MOP1-FA10"	"3"	2010-11-08
"D03-AFP1-FA10"	NA	2010-10-13
"D03-AFP1-FA10"	"1"	2010-10-25
"D03-AFP1-FA10"	"1"	2010-11-08
"D03-AMP1-FA10"	NA	2010-10-13
"D03-AMP1-FA10"	"4"	2010-10-25
"D03-AMP1-FA10"	"1"	2010-11-08
"D03-CHP1-FA10"	NA	2010-10-13
"D03-CHP1-FA10"	"3"	2010-10-25
"D03-CHP1-FA10"	"1"	2010-11-08
"D03-MFP1-FA10"	NA	2010-10-13
"D03-MFP1-FA10"	"1"	2010-10-25
"D03-MFP1-FA10"	"3"	2010-11-08
"D04-RDP1-FA10"	NA	2010-10-13
"D04-RDP1-FA10"	"1"	2010-10-25
"D04-RDP1-FA10"	"5"	2010-11-08
"D04-DNP1-FA10"	NA	2010-10-13
"D04-DNP1-FA10"	"1"	2010-10-25
"D04-DNP1-FA10"	"1"	2010-11-08
"D04-EDW1-FA10"	NA	2010-10-13
"D04-EDW1-FA10"	"1"	2010-10-25
"D04-EDW1-FA10"	"1"	2010-11-08
"D04-FGP1-FA10"	"1"	2010-10-13
"D04-FGP1-FA10"	"1"	2010-10-25
"D04-FGP1-FA10"	"1"	2010-11-08
"D05-PRC1-FA10"	"2"	2010-11-03
"D05-PRC1-FA10"	"1"	2010-11-15
"D05-MIA1-FA10"	"1"	2010-11-03
"D05-MIA1-FA10"	"1"	2010-11-15
"D05-MHC1-FA10"	"1"	2010-11-03
"D05-MHC1-FA10"	"1"	2010-11-15
"J01-CLP1-FA10"	NA	2010-10-13
"J01-CLP1-FA10"	"1"	2010-10-26
"J01-CLP1-FA10"	"1"	2010-11-08
"J01-SEP1-FA10"	NA	2010-10-13
"J01-SEP1-FA10"	"1"	2010-10-26
"J01-SEP1-FA10"	"1"	2010-11-08
"J01-SKP1-FA10"	NA	2010-10-13
"J01-SKP1-FA10"	"1"	2010-10-26
"J01-SKP1-FA10"	"2"	2010-11-08
"J01-LMP1-FA10"	"1"	2010-11-08
"D10-MAC1-SU10"	"1"	2010-08-09
"S02-PIP1-FA10"	"1"	2010-11-08
"S03-ARP1-FA10"	"1"	2010-11-08
"S03-LCP1-FA10"	"1/2"	2010-11-08
"S03-VIP1-FA10"	"1"	2010-11-08
"S04-VFP1-FA10"	"1"	2010-11-08
"S07-SAG1-FA10"	"1"	2010-11-01
"S07-SAG1-FA10"	"1"	2010-11-15
"S07-WGL1-FA10"	"1"	2010-11-01
"S07-WGL1-FA10"	"1"	2010-11-15
"S10-ILC1-FA10"	"1"	2010-11-01
"S10-ILC1-FA10"	"1"	2010-11-15
"S10-LPC1-FA10"	"1"	2010-11-01
"S10-LPC1-FA10"	"1"	2010-11-15
"S09-KTP1-FA10"	"1"	2010-11-01
"S09-KTP1-FA10"	"1"	2010-11-15
"S09-SMC1-FA10"	"1"	2010-11-01
"S09-SMC1-FA10"	"1"	2010-11-15
"S09-VTW1-FA10"	"1"	2010-11-01
"S09-VTW1-FA10"	"1"	2010-11-15
"S08-WGL1-FA10"	"1"	2010-11-01
"S08-WGL1-FA10"	"1"	2010-11-15
"S08-WGL2-FA10"	"1"	2010-11-01
"S08-WGL2-FA10"	"1"	2010-11-15
"S07-WGL2-FA10"	NA	2010-10-20
"S07-WGL2-FA10"	"1"	2010-11-01
"S07-WGL2-FA10"	"1"	2010-11-15
"S04-SSP1-FA10"	NA	2010-11-08
"S09-ILC1-FA10"	"1"	2010-11-01
"S09-ILC1-FA10"	"2"	2010-11-15
"S05-LNC1-FA10"	"1"	2010-11-03
"S05-LNC1-FA10"	"1"	2010-11-15
"S06-CBW1-FA10"	"1"	2010-11-01
"S06-CBW1-FA10"	"1"	2010-11-15
"S04-WEP1-FA10"	"1"	2010-11-08
"S02-CPR1-FA10"	"1"	2010-11-08
"S03-WAP1-FA10"	"1"	2010-11-08
"S02-MCP1-FA10"	"1"	2010-11-08
"S04-OTW1-FA10"	"1"	2010-11-01
"S04-OTW1-FA10"	"2?"	2010-11-15
"D10-VHC1-FA10"	"1"	2010-11-01
"D10-VHC1-FA10"	"1"	2010-11-15
"D10-CAN1-FA10"	"1"	2010-11-01
"D10-CAN1-FA10"	"3"	2010-11-15
"D10-KEM1-FA10"	"1"	2010-11-01
"D10-KEM1-FA10"	"1"	2010-11-15
"D09-VTC1-FA10"	"1"	2010-11-01
"D09-VTC1-FA10"	"1"	2010-11-15
"D09-BON2-FA10"	"2"	2010-11-01
"D09-CLG1-FA10"	"1"	2010-11-01
"D09-CLG1-FA10"	"1"	2010-11-15
"D08-DAW1-FA10"	"1"	2010-11-01
"D08-DAW1-FA10"	"1"	2010-11-15
"D08-DAW2-FA10"	"1"	2010-11-01
"D08-DAW2-FA10"	"1"	2010-11-15
"D08-BOR1-FA10"	"1"	2010-11-01
"D08-BOR1-FA10"	"5"	2010-11-15
"D08-CCC1-FA10"	"1"	2010-11-01
"D08-CCC1-FA10"	"1"	2010-11-15
"D07-NOC1-FA10"	"1"	2010-11-01
"D07-NOC1-FA10"	"2"	2010-11-15
"D07-PLN1-FA10"	"1"	2010-11-01
"D07-PLN1-FA10"	"1"	2010-11-15
"D07-BEC1-FA10"	"1"	2010-11-01
"D07-BEC1-FA10"	"1"	2010-11-15
"R02-DPG1-FA10"	"1"	2010-11-08
"R03-CPG1-FA10"	"1"	2010-11-08
"R04-MMW1-FA10"	"1"	2010-11-03
"R04-MMW1-FA10"	NA	2010-11-15
"R05-GOC1-FA10"	"1"	2010-11-03
"R05-GOC1-FA10"	"1"	2010-11-15
"R06-SLT1-FA10"	"1"	2010-11-03
"R06-SLT1-FA10"	"1"	2010-11-15
"R06-YOW1-FA10"	"1"	2010-11-03
"R06-YOW1-FA10"	"1"	2010-11-15
"R06-SLT2-FA10"	"1"	2010-11-03
"R06-SLT2-FA10"	"1"	2010-11-15
"R07-YHR1-FA10"	NA	2010-11-03
"R07-YHR1-FA10"	NA	2010-11-15
"R07-GOF1-FA10"	NA	2010-11-03
"R07-GOF1-FA10"	NA	2010-11-15
"R09-BLW1-FA10"	"1"	2010-11-03
"R09-BLW1-FA10"	NA	2010-11-15
"R10-FRM2-FA10"	"1"	2010-11-03
"R10-FRM2-FA10"	"1"	2010-11-17
"R10-FRM1-FA10"	"1"	2010-11-03
"R10-FRM1-FA10"	"1"	2010-11-17
"R10-WDW1-FA10"	"1"	2010-11-03
"R10-WDW1-FA10"	"1"	2010-11-15
"R10-WCP1-FA10"	"2"	2010-11-03
"R10-WCP1-FA10"	NA	2010-11-15
"R09-CTG2-FA10"	"2"	2010-11-03
"R09-CTG2-FA10"	NA	2010-11-15
"R09-LIM2-FA10"	"1"	2010-11-03
"R09-LIM2-FA10"	"1"	2010-11-15
"R08-WBK1-FA10"	"1"	2010-11-03
"R08-WBK1-FA10"	"1"	2010-11-15
"R08-VLG1-FA10"	"1"	2010-11-03
"R08-VLG1-FA10"	"1"	2010-11-15
"R02-FRP1-FA10"	"1"	2010-11-08
"D09-BON2-FA10"	"2"	2010-11-15
"D05-MIA1-SU10"	"1"	2010-08-09
"D05-PRC1-SU10"	"1"	2010-08-09
"D06-KCG1-SU10"	"1"	2010-08-09
"D07-BEC1-SU10"	"1"	2010-08-09
"D07-NOC1-SU10"	"1"	2010-08-09
"D07-PLN1-SU10"	"1"	2010-08-09
"D08-BOR1-SU10"	"2"	2010-08-09
"D08-CCC1-SU10"	"3"	2010-08-09
"D08-DAW1-SU10"	"1"	2010-08-09
"D08-DAW2-SU10"	"1"	2010-08-09
"D09-BON2-SU10"	"1"	2010-08-09
"D09-VTC1-SU10"	"1"	2010-08-09
"D10-CAN1-SU10"	"1"	2010-08-09
"D10-KEM1-SU10"	"1"	2010-08-09
"R08-VLG1-SU10"	"1"	2010-08-11
"R08-WBK1-SU10"	"1"	2010-08-11
"R09-BLW1-SU10"	"1"	2010-08-11
"R09-CTG1-SU10"	"1"	2010-08-11
"R09-LIM1-SU10"	"1"	2010-08-11
"R10-FRM1-SU10"	"1"	2010-08-11
"R10-FRM2-SU10"	"1"	2010-08-11
"R10-WCP1-FA10"	NA	NA
"R10-WCP1-SU10"	"1"	2010-08-11
"R10-WDW1-SU10"	"1"	2010-08-11
"D09-VTC1-SP10"	NA	NA
"R10-WDW1-WI11"	NA	2011-01-27
"R10-FRM1-WI11"	NA	2011-01-27
"R10-FRM2-WI11"	NA	2011-01-27
"R10-WCP2-WI11"	NA	2011-01-27
"R09-LIM2-WI11"	NA	2011-01-27
"R09-CTG3-WI11"	NA	2011-01-27
"R09-BLW1-WI11"	NA	2011-01-27
"R08-WBK1-WI11"	NA	2011-01-27
"R07-MMP1-WI11"	NA	2011-01-31
"J01-CLP1-WI11"	NA	2011-01-26
"J01-SEP1-FA10"	"1"	2010-12-20
"J01-SEP1-WI11"	NA	2011-01-26
"J01-SKP1-WI11"	NA	2011-01-26
"D04-EDW2-WI11"	NA	2011-01-26
"D04-FGP1-WI11"	NA	2011-01-26
"D03-CHP1-WI11"	NA	2011-01-26
"D03-AFP1-WI11"	NA	2011-01-26
"D02-MOP1-WI11"	NA	2011-01-26
"D02-HUP1-WI11"	NA	2011-01-26
"D02-RCP1-WI11"	NA	2011-01-26
"D03-AMP1-WI11"	NA	2011-01-26
"D03-MFP1-WI11"	NA	2011-01-26
"D04-DNP1-WI11"	NA	2011-01-25
"D04-RDP1-WI11"	NA	2011-01-25
"D05-BRP1-WI11"	NA	2011-01-25
"D05-MIA1-WI11"	NA	2011-01-25
"D05-PRC1-WI11"	NA	2011-01-25
"D05-MHC1-WI11"	NA	2011-01-25
"D06-KCG1-WI11"	NA	2011-01-25
"D07-BEC1-WI11"	NA	2011-01-25
"D07-NOC1-WI11"	NA	2011-01-24
"D07-PLN1-WI11"	NA	2011-01-24
"D08-DAW1-WI11"	NA	2011-01-24
"D08-DAW2-WI11"	NA	2011-01-24
"D08-CCC1-WI11"	NA	2011-01-24
"D09-BON2-WI11"	NA	2011-01-24
"D09-CLG1-WI11"	NA	2011-01-24
"D09-VTC1-WI11"	NA	2011-01-24
"D10-VHC1-WI11"	NA	2011-01-24
"D10-KEM1-WI11"	NA	2011-01-24
"S02-CPR1-WI11"	NA	2011-01-26
"S02-MCP1-WI11"	NA	2011-01-26
"S02-PIP1-WI11"	NA	2011-01-26
"S03-WAP1-WI11"	NA	2011-01-26
"S03-ARP1-WI11"	NA	2011-01-26
"S03-VIP1-WI11"	NA	2011-01-26
"S03-LCP1-WI11"	NA	2011-01-26
"S04-WEP1-WI11"	NA	2011-01-26
"S04-VFP1-WI11"	NA	2011-01-26
"S04-SSP1-WI11"	NA	2011-01-26
"R03-AUP1-WI11"	NA	2011-01-27
"S04-OTW1-WI11"	NA	2011-01-26
"S05-LNC1-WI11"	NA	2011-01-26
"S06-CBW1-WI11"	NA	2011-01-25
"S07-SAG1-WI11"	NA	2011-01-25
"S07-WGL1-WI11"	NA	2011-01-25
"S08-WGL1-WI11"	NA	2011-01-25
"S09-SMC1-WI11"	NA	2011-01-25
"S09-KTP1-WI11"	NA	2011-01-25
"S09-VTW1-WI11"	NA	2011-01-25
"S09-ILC1-WI11"	NA	2011-01-25
"S10-ILC1-WI11"	NA	2011-01-25
"R08-VLG1-WI11"	NA	2011-01-27
"R07-GOF1-WI11"	NA	2011-01-27
"R07-YHR1-WI11"	NA	2011-01-27
"R07-YHR2-WI11"	NA	2011-01-27
"R06-SLT1-WI11"	NA	2011-01-27
"R06-SLT2-WI11"	NA	2011-01-27
"S08-WEG2-WI11"	NA	2011-01-25
"R06-YOW1-WI11"	NA	2011-01-27
"R05-GOC1-WI11"	NA	2011-01-27
"R04-MMW1-WI11"	NA	2011-01-27
"R02-FRP1-WI11"	NA	2011-01-27
"J01-LMP1-WI11"	NA	2011-01-26
"R03-CPG1-WI11"	NA	2011-01-27
"R02-DPG1-WI11"	NA	2011-01-27
"S10-LPC1-WI11"	NA	2011-01-25
"R03-AUP1-WI11"	"1"	2011-02-08
